primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
The Cave of the Demons	La caverne maudite	0	1898	\N	\N	Horror,Short
Le chemin de croix	Le chemin de croix	0	1898	\N	\N	Short
Cinderella	Cinderella	0	1898	\N	\N	Fantasy,Short
Come Along, Do!	Come Along, Do!	0	1898	\N	1	Comedy,Short
The Corsican Brothers	The Corsican Brothers	0	1898	\N	\N	Drama,Short
Cripple Creek Bar-Room Scene	Cripple Creek Bar-Room Scene	0	1899	\N	1	Short,Western
La crèche à Bethléem	La crèche à Bethléem	0	1898	\N	\N	Short
Le cuirassé Maine	Le cuirassé Maine	0	1898	\N	\N	Short,War
La cène	La cène	0	1898	\N	1	Short
The Deserter	The Deserter	0	1898	\N	\N	Drama,Short
Dorotea	Dorotea	0	1898	\N	\N	Short
Dostavenícko ve mlýnici	Dostavenícko ve mlýnici	0	1898	\N	1	Comedy,Short
Déménagement à la cloche de bois	Déménagement à la cloche de bois	0	1898	\N	\N	Short
Ella Lola, a la Trilby	Ella Lola, a la Trilby	0	1898	\N	\N	Short
L'entrée à Jérusalem	L'entrée à Jérusalem	0	1898	\N	\N	Short
Express Train on a Railway Cutting	Express Train on a Railway Cutting	0	1898	\N	\N	Documentary,Short
Les farces de Jocko	Les farces de Jocko	0	1898	\N	\N	Comedy,Short
Faust and Mephistopheles	Faust and Mephistopheles	0	1898	\N	\N	Fantasy,Short
La flagellation	La flagellation	0	1898	\N	\N	Short
La fuite en Égypte	La fuite en Égypte	0	1898	\N	\N	Short
Glasgow Fire Engine	Glasgow Fire Engine	0	1898	\N	\N	Short
Gran corrida de toros	Gran corrida de toros	0	1898	\N	\N	Documentary,Short,Sport
Indian War Council	Indian War Council	0	1898	\N	\N	News,Short
Le jardin des oliviers	Le jardin des oliviers	0	1898	\N	\N	Short
Je vous y prrrrends!	Je vous y prrrrends!	0	1898	\N	\N	Short
Jésus devant Pilate	Jésus devant Pilate	0	1898	\N	\N	Short
Leçons de boxe	Leçons de boxe	0	1898	\N	1	Comedy,Short,Sport
Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona	Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona	0	1898	\N	\N	Documentary,Short
London Express	London Express	0	1898	\N	\N	Documentary,Short
The Miller and Chimney Sweep	The Miller and the Sweep	0	1897	\N	1	Comedy,Short
Photographing a Ghost	Photographing a Ghost	0	1898	\N	\N	Horror,Short
A Novice at X-rays	Les rayons Röntgen	0	1898	\N	1	Short
A Trip to the Moon	La lune à un mètre	0	1898	\N	3	Comedy,Fantasy,Horror
Saida do Paquete Duque de Braganca	Saida do Paquete Duque de Braganca	0	1898	\N	\N	Short
Scène d'escamotage	Scène d'escamotage	0	1898	\N	1	Short
Tearing Down the Spanish Flag	Tearing Down the Spanish Flag	0	1898	\N	\N	Short,War
Smích a plác	Smích a plác	0	1898	\N	\N	Documentary,Short
Visita de Doña María Cristina y Alfonso XIII a Barcelona	Visita de Doña María Cristina y Alfonso XIII a Barcelona	0	1898	\N	\N	News,Short
Waves and Spray	Waves and Spray	0	1898	\N	\N	Short
L'affaire Dreyfus	L'affaire Dreyfus	0	1899	\N	13	Biography,Drama,Short
Aladdin and the Wonderful Lamp	Aladdin and the Wonderful Lamp	0	1899	\N	\N	Fantasy,Short
The Artist and the Flower Girl	The Artist and the Flower Girl	0	1901	\N	\N	Romance,Short
Aspectos da Praia de Cascais	Aspectos da Praia de Cascais	0	1899	\N	\N	Documentary,Short
Au cabaret	Au cabaret	0	1899	\N	1	Comedy,Short
L'aveugle	L'aveugle	0	1899	\N	\N	Short
Battlefield	Battlefield	0	1899	\N	\N	Short
Beauty and the Beast	La belle et la bête	0	1899	\N	\N	Family,Fantasy,Romance
Boat Race	Boat Race	0	1899	\N	\N	Short
Bombardment of Mafeking	Bombardment of Mafeking	0	1899	\N	\N	Drama,Short,War
La bonne absinthe	La bonne absinthe	0	1899	\N	1	Short
Casey at the Bat	Casey at the Bat	0	1899	\N	1	Short,Sport
Cinderella	Cendrillon	0	1899	\N	6	Drama,Family,Fantasy
Portuguese Railway Train	Portuguese Railway Train	0	1896	\N	1	Documentary,Short
Le chiffonnier	Le chiffonnier	0	1899	\N	\N	Comedy,Short
Choque de dos transatlánticos	Choque de dos transatlánticos	0	1899	\N	2	Animation,Short
Cleopatra's Tomb	Cléopâtre	0	1899	\N	1	Horror,Short
Haggard's She: The Pillar of Fire	La colonne de feu	0	1899	\N	1	Adventure,Fantasy,Horror
Courte échelle	Courte échelle	0	1899	\N	\N	Short
Le crucifiement	Le crucifiement	0	1899	\N	\N	Short
Les dangers de l'alcoolisme	Les dangers de l'alcoolisme	0	1899	\N	\N	Drama,Short
Danse serpentine par Mme. Bob Walter	Danse serpentine par Mme. Bob Walter	0	1899	\N	\N	Short
Distributing a War Extra	Distributing a War Extra	0	1899	\N	1	Documentary,Short
La descente de croix	La descente de croix	0	1899	\N	\N	Short
The Sign of the Cross	Le diable au couvent	0	1899	\N	3	Fantasy,Horror,Short
Le déjeuner des enfants	Le déjeuner des enfants	0	1899	\N	\N	Comedy,Short
Erreur judiciaire	Erreur judiciaire	0	1899	\N	\N	Short
